SOH,a6,a5,a4,a3,a2,a1,a0
0.8,3495018.916,-10078582.03,10995157.42,-5611427.696,1331332.085,-123465.5836,4603.761875
0.82,3513126.305,-10141808.81,11079213.18,-5663638.95,1346131.109,-124979.695,4671.705941
0.84,3668899.304,-10589028.07,11562359.62,-5906537.246,1402782.07,-130189.9774,4854.822056
0.86,3612278.83,-10430768.5,11391276.98,-5816007.056,1378489.364,-127147.9979,4790.663418
0.88,3738497.679,-10786316.42,11763687.81,-5993798.909,1416271.897,-129978.2836,4885.216394
0.9,3711293.108,-10700248.56,11652721.48,-5921130.853,1392082.118,-126394.739,4796.32263
0.92,3657694.18,-10530940.44,11441816.15,-5791743.962,1352699.912,-121198.9042,4685.846519
0.94,3535808.551,-10164458.43,11016154.57,-5553286.465,1287608.641,-113598.9749,4503.209146
0.96,3746930.711,-10734776.32,11588293.41,-5815030.909,1341371.973,-117736.5567,4641.061818
0.98,3635835.626,-10390173.91,11179422.99,-5583618.547,1278389.644,-110623.7687,4485.892374
1,3236430.365,-9193371.75,9808336.185,-4834761.123,1081624.339,-89032.98052,3987.608937
