SOH,a6,a5,a4,a3,a2,a1,a0
0.8,-0.894405195,1.942987607,-0.881031411,-0.824773952,0.9254715,-0.301744395,0.110900836
0.82,-0.822651402,1.714430531,-0.622021593,-0.950461119,0.949905015,-0.303272447,0.11039094
0.84,-0.741702174,1.462093224,-0.323744241,-1.113720761,0.987640188,-0.304984305,0.108513297
0.86,-0.642152929,1.224451133,-0.132742557,-1.161242258,0.976693112,-0.298396045,0.106290841
0.88,-0.476835411,0.8199578,0.194039761,-1.231663634,0.945688905,-0.282468915,0.102416527
0.9,-0.201319452,0.039004073,1.023577293,-1.628721053,1.018641071,-0.2807032,0.099169844
0.92,-0.402576053,0.647054074,0.305083587,-1.198048585,0.873045806,-0.252570283,0.09453921
0.94,-0.275264466,0.284818094,0.687864697,-1.375923486,0.902615263,-0.251667119,0.092814191
0.96,-0.246465487,0.227169533,0.711642442,-1.35224778,0.877952389,-0.245086475,0.091490878
0.98,-0.30825024,0.358888098,0.627672397,-1.346175864,0.888558073,-0.249339952,0.092451386
1,-0.362770727,0.406944198,0.7149506,-1.475532466,0.945304241,-0.260921135,0.093946959
